Country,Code,ShareOfDeaths
Afghanistan,AFG,0.01888524
African Region (WHO),,3.864151702
Albania,ALB,0.006906151
Algeria,DZA,0.02892939
American Samoa,ASM,0.038844712
Andorra,AND,0.560436899
Angola,AGO,0.140554016
Antigua and Barbuda,ATG,1.607664636
Argentina,ARG,0.222047061
Armenia,ARM,0.004767731
Australia,AUS,0.321981903
Austria,AUT,0.084859639
Azerbaijan,AZE,0.024825819
Bahamas,BHS,4.481800961
Bahrain,BHR,0.189248709
Bangladesh,BGD,0
Barbados,BRB,1.677233942
Belarus,BLR,0.09023583
Belgium,BEL,0.127890834
Belize,BLZ,3.187131752
Benin,BEN,0.076160174
Bermuda,BMU,3.059935941
Bhutan,BTN,0.085498702
Bolivia,BOL,0.337294684
Bosnia and Herzegovina,BIH,0.012724369
Botswana,BWA,11.59863915
Brazil,BRA,0.820371429
Brunei,BRN,0.06670225
Bulgaria,BGR,0.026530288
Burkina Faso,BFA,7.925123771
Burundi,BDI,6.476730147
Cambodia,KHM,0.007290772
Cameroon,CMR,1.02134309
Canada,CAN,0.420502611
Cape Verde,CPV,1.118430223
Central African Republic,CAF,4.287366645
Chad,TCD,0.734564704
Chile,CHL,0.139033939
China,CHN,0.032352971
Colombia,COL,0.28683287
Comoros,COM,0.000831433
Congo,COG,10.9911468
Cook Islands,COK,0.037951608
Costa Rica,CRI,0.51510509
Cote d'Ivoire,CIV,6.865214853
Croatia,HRV,0.012596626
Cuba,CUB,0.087474051
Cyprus,CYP,0.010576654
Czechia,CZE,0.003866084
Democratic Republic of Congo,COD,3.451092548
Denmark,DNK,0.003871416
Djibouti,DJI,0.021591518
Dominica,DMA,0.858947476
Dominican Republic,DOM,0.906911387
East Asia & Pacific (WB),,0.04196037
Eastern Mediterranean Region (WHO),,0.029759511
Ecuador,ECU,0.127604951
Egypt,EGY,0.012031435
El Salvador,SLV,0.2652458
England,,0.073967173
Equatorial Guinea,GNQ,0.325733927
Eritrea,ERI,0.918895936
Estonia,EST,0.003136253
Eswatini,SWZ,0.394491966
Ethiopia,ETH,1.626768561
Europe & Central Asia (WB),,0.189174383
European Region (WHO),,0.188568949
Fiji,FJI,0.05170946
Finland,FIN,0.029080021
France,FRA,0.593885157
G20,,0.198631161
Gabon,GAB,1.457859798
Gambia,GMB,0.249303563
Georgia,GEO,0.003305279
Germany,DEU,0.186128582
Ghana,GHA,1.816356569
Greece,GRC,0.040660987
Greenland,GRL,0.512056967
Grenada,GRD,0.81239905
Guam,GUM,0.228306972
Guatemala,GTM,0.341591618
Guinea,GIN,0.231427502
Guinea-Bissau,GNB,0.324238768
Guyana,GUY,1.344137478
Haiti,HTI,3.472093662
Honduras,HND,0.282766927
Hungary,HUN,0.115079464
Iceland,ISL,0.113961766
India,IND,0.013748919
Indonesia,IDN,0.000872063
Iran,IRN,0.010779733
Iraq,IRQ,0.005476228
Ireland,IRL,0.037619613
Israel,ISR,0.132493488
Italy,ITA,0.350172574
Jamaica,JAM,1.416886944
Japan,JPN,0.008440559
Jordan,JOR,0.014715395
Kazakhstan,KAZ,0.06250161
Kenya,KEN,11.16759725
Kiribati,KIR,0.068194781
Kuwait,KWT,0.038815698
Kyrgyzstan,KGZ,0.08343734
Laos,LAO,4.67E-05
Latin America & Caribbean (WB),,0.668746876
Latvia,LVA,0.123129894
Lebanon,LBN,0.215166655
Lesotho,LSO,2.851862008
Liberia,LBR,0.318645298
Libya,LBY,0.039753657
Lithuania,LTU,0.072511857
Luxembourg,LUX,0.140277673
Madagascar,MDG,0.000943824
Malawi,MWI,8.657553026
Malaysia,MYS,0.052664146
Maldives,MDV,0.005504617
Mali,MLI,0.329738194
Malta,MLT,0.095649161
Marshall Islands,MHL,0.139460669
Mauritania,MRT,0.18460533
Mauritius,MUS,0.155924902
Mexico,MEX,0.467421817
Micronesia (country),FSM,0.74016971
Middle East & North Africa (WB),,0.02995865
Moldova,MDA,0.126551352
Monaco,MCO,0.095647395
Mongolia,MNG,5.12E-05
Montenegro,MNE,0.019359525
Morocco,MAR,0.057772718
Mozambique,MOZ,1.068607857
Myanmar,MMR,0.008338965
Namibia,NAM,2.191479805
Nauru,NRU,0.037454632
Nepal,NPL,2.39E-05
Netherlands,NLD,0.241914373
New Zealand,NZL,0.196046576
Nicaragua,NIC,0.104128776
Niger,NER,0.189262125
Nigeria,NGA,0.577879774
Niue,NIU,0.023502169
North America (WB),,1.231189189
North Korea,PRK,0.018280154
North Macedonia,MKD,0.003501606
Northern Ireland,,0.068962443
Northern Mariana Islands,MNP,0.057275505
Norway,NOR,0.070676135
OECD Countries,,0.461377811
Oman,OMN,0.040771346
Pakistan,PAK,0.024118705
Palau,PLW,0.033905466
Palestine,PSE,0.006468886
Panama,PAN,1.589788727
Papua New Guinea,PNG,0.005556175
Paraguay,PRY,0.205124096
Peru,PER,0.357171669
Philippines,PHL,0.20656543
Poland,POL,0.005242514
Portugal,PRT,0.211736412
Puerto Rico,PRI,3.717211035
Qatar,QAT,0.159990357
Region of the Americas (WHO),,0.912338035
Romania,ROU,0.083155019
Russia,RUS,0.2083484
Rwanda,RWA,1.737596439
Saint Kitts and Nevis,KNA,0.304858051
Saint Lucia,LCA,0.873927703
Saint Vincent and the Grenadines,VCT,2.061700207
Samoa,WSM,0.128213067
San Marino,SMR,0.185520564
Sao Tome and Principe,STP,0.023741926
Saudi Arabia,SAU,0.08431476
Scotland,,0.062834977
Senegal,SEN,0.31441914
Serbia,SRB,0.030394828
Seychelles,SYC,0.051647631
Sierra Leone,SLE,0.2032966
Singapore,SGP,0.055559847
Slovakia,SVK,0.001755617
Slovenia,SVN,0.021785519
Solomon Islands,SLB,0.105978541
Somalia,SOM,0.022420814
South Africa,ZAF,0.969511389
South Asia (WB),,0.013447419
South Korea,KOR,0.021879919
South Sudan,SSD,0.330518474
South-East Asia Region (WHO),,0.019019959
Spain,ESP,0.647992722
Sri Lanka,LKA,0.028068585
Sub-Saharan Africa (WB),,3.748234399
Sudan,SDN,0.077138029
Suriname,SUR,2.261661117
Sweden,SWE,0.072891882
Switzerland,CHE,0.005078556
Syria,SYR,0.011421773
Taiwan,TWN,0.008075604
Tajikistan,TJK,0.018505306
Tanzania,TZA,10.40218753
Thailand,THA,0.337969286
Timor,TLS,0.242242138
Togo,TGO,0.919758992
Tokelau,TKL,0.027888762
Tonga,TON,0.047499846
Trinidad and Tobago,TTO,1.220103543
Tunisia,TUN,0.022113338
Turkey,TUR,0.001893492
Turkmenistan,TKM,0.213648228
Tuvalu,TUV,0.024670125
Uganda,UGA,26.67759767
Ukraine,UKR,0.23895525
United Arab Emirates,ARE,0.054536997
United Kingdom,GBR,0.071697265
United States,USA,1.303141777
United States Virgin Islands,VIR,1.186624327
Uruguay,URY,0.155223981
Uzbekistan,UZB,0.101833075
Vanuatu,VUT,0.146405898
Venezuela,VEN,0.737447926
Vietnam,VNM,0.066410543
Wales,,0.053735969
Western Pacific Region (WHO),,0.040749144
Yemen,YEM,0.049357003
Zambia,ZMB,11.09364155
Zimbabwe,ZWE,14.88570452
